t,success,mid,pmt,pg,sub_type,hr,bank,time
2,1,zivame,NB,PAYU,,2020-02-14 06,NB_CITI,2020021406
1,0,urbanclap,NB,PAYTM,,2020-02-14 06,NB_SYNB,2020021406
5,1,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 11,AIRTELMONEY,2020021411
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 12,THE SATARA SAHAKARI BANK LTD MUMBAI,2020021412
1,1,fanfight,CARD,RAZORPAY,,2020-02-14 06,DCB,2020021406
3,3,fanfight,CARD,GOCASHFREE,,2020-02-14 07,SARVA HARYANA GRAMIN BANK,2020021407
2,1,fanfight,CARD,GOCASHFREE,,2020-02-14 09,Abhyudaya Cooperative Bank,2020021409
1,1,zivame,CARD,PAYU,,2020-02-14 09,South Indian Bank,2020021409
2,2,purplle.com,CARD,PAYTM,,2020-02-14 07,Abhyudaya Cooperative Bank,2020021407
1,1,drivezy,CARD,GOCASHFREE,,2020-02-14 02,Karur Vysya Bank,2020021402
1,0,urbanclap,NB,PAYTM,,2020-02-14 03,NB_CSB,2020021403
6,0,fanfight,NB,RAZORPAY,,2020-02-14 09,NB_INDB,2020021409
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 02,JANATA SAHAKARI BANK LTD PUNE,2020021402
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 03,NB_IDFC,2020021403
1,0,zivame,NB,PAYU,,2020-02-14 12,NB_KARN,2020021412
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 09,MATTELF.C.U.,2020021409
4,1,fanfight,CARD,RAZORPAY,,2020-02-14 05,Karur Vysya Bank,2020021405
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,BARODA RAJASTHAN KSHETRIYA GRAMIN BANK,2020021415
1,0,pharmeasytech,NB,PAYU,,2020-02-14 07,NB_CUB,2020021407
1,1,medlife_prod,CARD,TPSL,,2020-02-14 08,Punjab and Sind Bank,2020021408
2,1,zivame,CARD,HDFC,,2020-02-14 08,City Union Bank,2020021408
3,1,fanfight,CARD,RAZORPAY,,2020-02-14 07,SOUTHCAROLINAF.C.U.,2020021407
1,0,pharmeasytech,CARD,PAYU,,2020-02-14 11,GP Parsik Bank,2020021411
2,0,fanfight,NB,RAZORPAY,,2020-02-14 04,NB_UNIB,2020021404
1,1,countrydelight,CARD,PAYU,,2020-02-14 12,FIRSTDUPAGEBANK,2020021412
3,3,fanfight,NB,PAYTM,,2020-02-14 12,NB_IDFC,2020021412
1,1,medlife_prod,CARD,TPSL,,2020-02-14 04,THE KALUPUR COMMERCIAL CO OP BANK LTD,2020021404
1,1,drivezy,CONSUMER_FINANCE,EPAYLATER,,2020-02-14 11,EPAYLATER,2020021411
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 15,THE ALMORA URBAN COOPERATIVE BANK,2020021415
1,1,zivame,NB,PAYU,,2020-02-14 17,NB_IOB,2020021417
5,0,fanfight,CARD,GOCASHFREE,,2020-02-14 13,JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR,2020021413
2,0,medlife_prod,CARD,TPSL,,2020-02-14 16,South Indian Bank,2020021416
9,0,fanfight,NB,RAZORPAY,,2020-02-14 15,NB_INDB,2020021415
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 15,THE MOGAVEERA COOP BANK LTD,2020021415
1,1,medlife_prod,CARD,TPSL,,2020-02-14 14,THE MOGAVEERA COOP BANK LTD,2020021414
1,0,purplle.com,NB,PAYU,,2020-02-14 13,NB_FED,2020021413
1,0,urbanclap,CARD,PAYTM,,2020-02-14 13,CANADIANIMPERIALBANKOFCOMMERCE,2020021413
5,0,fanfight,NB,RAZORPAY,,2020-02-14 13,NB_ALLB,2020021413
3,0,fanfight,CARD,GOCASHFREE,,2020-02-14 15,PURVANCHAL GRAMIN BANK,2020021415
4,0,fanfight,CARD,RAZORPAY,,2020-02-14 15,COMMUNITYBANK,2020021415
1,1,countrydelight,CARD,PAYU,,2020-02-14 14,MATTELF.C.U.,2020021414
3,1,zivame,CARD,HDFC,,2020-02-14 12,COMMUNITYBANK,2020021412
1,0,urbanclap,NB,PAYTM,,2020-02-14 04,NB_INDUS,2020021404
5,0,fanfight,NB,RAZORPAY,,2020-02-14 07,NB_UCOB,2020021407
3,0,medlife_prod,NB,RAZORPAY,,2020-02-14 07,NB_IOB,2020021407
4,0,zivame,NB,PAYU,,2020-02-14 08,NB_UCOB,2020021408
4,4,medlife_prod,CARD,TPSL,,2020-02-14 07,IDFC Bank,2020021407
5,3,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2020-02-14 06,AIRTELMONEY,2020021406
1,0,medlife_prod,CARD,TPSL,,2020-02-14 04,COMMUNITYBANK,2020021404
2,0,medlife_prod,CARD,TPSL,,2020-02-14 06,NKGSB COOP BANK LTD,2020021406
1,1,zivame,CARD,HDFC,,2020-02-14 10,BCCARDCO..LTD.,2020021410
3,2,fanfight,CARD,GOCASHFREE,,2020-02-14 11,SARVA HARYANA GRAMIN BANK,2020021411
1,1,fanfight,CARD,GOCASHFREE,,2020-02-14 12,RAJKOT NAGARIK SAHAKARI BANK LTD,2020021412
1,1,pharmeasytech,CARD,PAYU,,2020-02-14 08,South Indian Bank,2020021408
1,1,urbanclap,CARD,PAYTM,,2020-02-14 04,DCB,2020021404
3,0,pharmeasytech,CARD,,,2020-02-14 04,Zeta,2020021404
3,0,fanfight,NB,RAZORPAY,,2020-02-14 07,NB_ANDHRA,2020021407
1,1,medlife_prod,NB,RAZORPAY,,2020-02-14 09,NB_CORP,2020021409
1,1,medlife_prod,CARD,TPSL,,2020-02-14 10,Saraswat Bank,2020021410
5,1,pharmeasytech,CARD,PAYU,,2020-02-14 04,IDFC Bank,2020021404
1,1,medlife_prod,CARD,TPSL,,2020-02-14 06,CREDITLIBANAISS.A.L.,2020021406
1,1,countrydelight,NB,PAYU,,2020-02-14 12,NB_INDB,2020021412
